"timestamp [UTC]",name,resultCode,duration,success,url
"10/23/2025, 7:58:21.962 AM","Login request",OK,"199.3518",True,
"10/23/2025, 7:30:23.059 AM","Login request",OK,"186.9195",True,
"10/23/2025, 7:30:11.847 AM","Login request","Either the username or the password is incorrect.","145.2675",True,
"10/23/2025, 5:17:33.541 AM","Mobile Login Request",OK,"109.2998",True,
"10/23/2025, 5:16:11.101 AM","Mobile Login Request",OK,"94.092",True,
"10/23/2025, 5:12:15.070 AM","Mobile Login Request",OK,"515.6923",True,
"10/23/2025, 5:08:47.855 AM","Mobile Login Request",OK,"109.3748",True,
"10/23/2025, 5:07:00.484 AM","Mobile Login Request",OK,"343.7602",True,
"10/23/2025, 4:21:30.428 AM","Mobile Login Request",OK,"718.8308",True,
"10/22/2025, 11:13:31.297 PM","Mobile Login Request",OK,0,True,
"10/22/2025, 11:13:31.297 PM","Mobile Login Request","Either the username or the password is incorrect.",0,True,
"10/22/2025, 5:03:27.279 PM","Mobile Login Request",OK,"281.3385",True,
"10/22/2025, 4:59:13.763 PM","Mobile Login Request",OK,"593.8365",True,
"10/22/2025, 4:55:22.628 PM","Mobile Login Request",OK,"31.2363",True,
"10/22/2025, 4:55:22.628 PM","Mobile Login Request","Either the username or the password is incorrect.","31.2363",True,
"10/22/2025, 4:54:42.243 PM","Mobile Login Request",OK,"125.0035",True,
"10/22/2025, 4:43:29.638 PM","Mobile Login Request",OK,"296.8806",True,
"10/22/2025, 4:34:32.065 PM","Mobile Login Request",OK,"31.3077",True,
"10/22/2025, 4:34:32.065 PM","Mobile Login Request","Either the username or the password is incorrect.","31.3077",True,
"10/22/2025, 4:33:49.017 PM","Mobile Login Request","Either the username or the password is incorrect.","31.2146",True,
"10/22/2025, 4:33:49.017 PM","Mobile Login Request",OK,"31.2146",True,
"10/22/2025, 4:33:19.301 PM","Mobile Login Request",OK,"31.2458",True,
"10/22/2025, 4:33:19.301 PM","Mobile Login Request","Either the username or the password is incorrect.","31.2458",True,
"10/22/2025, 4:31:22.405 PM","Mobile Login Request","Either the username or the password is incorrect.","46.8689",True,
"10/22/2025, 4:31:22.405 PM","Mobile Login Request",OK,"46.8689",True,
"10/22/2025, 2:21:58.976 PM","Login request",OK,"4296.7465",True,
"10/22/2025, 2:21:51.187 PM","Login request","Either the username or the password is incorrect.","964.247",True,
"10/22/2025, 2:18:44.435 PM","Login request",OK,"217.5665",True,
"10/22/2025, 1:34:46.041 PM","Login request",OK,"3298.1596",True,
"10/22/2025, 1:34:30.833 PM","Login request","Either the username or the password is incorrect.","1312.7747",True,
"10/22/2025, 1:32:41.125 PM","Login request",OK,"31.235",True,
"10/22/2025, 1:31:19.878 PM","Login request",OK,"58.0214",True,
"10/22/2025, 1:30:56.903 PM","Login request","Either the username or the password is incorrect.",0,True,
"10/22/2025, 1:30:47.341 PM","Login request","Either the username or the password is incorrect.","62.5011",True,
"10/22/2025, 1:24:37.206 PM","Login request",OK,"2498.7705",True,
"10/22/2025, 1:23:52.532 PM","Login request","Either the username or the password is incorrect.","904.9917",True,
"10/22/2025, 1:23:32.370 PM","Login request","Either the username or the password is incorrect.","859.7929",True,
"10/22/2025, 1:23:23.735 PM","Login request","Either the username or the password is incorrect.","926.243",True,
"10/22/2025, 1:19:25.384 PM","Login request",OK,"123.0423",True,
"10/22/2025, 1:19:13.839 PM","Login request","Either the username or the password is incorrect.","15.5784",True,
"10/22/2025, 12:48:13.751 PM","Login request",OK,"3258.1394",True,
"10/22/2025, 11:49:21.242 AM","Mobile Login Request",OK,"140.6634",True,
"10/22/2025, 11:39:08.045 AM","Mobile Login Request","Either the username or the password is incorrect.","46.8798",True,
"10/22/2025, 11:39:08.045 AM","Mobile Login Request",OK,"46.8798",True,
"10/22/2025, 10:56:02.364 AM","Login request",OK,"78.1031",True,
"10/22/2025, 10:55:54.048 AM","Login request","Either the username or the password is incorrect.","62.5547",True,
"10/22/2025, 10:52:07.974 AM","Login request",OK,"62.5691",True,
"10/22/2025, 10:09:21.959 AM","Login request",OK,"46.873",True,
